file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/resource/GenericExceptionMapper.java,com.sismics.rest.resource.GenericExceptionMapper,class,7,8,1,7,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,18,2,0,0,1,1,6,0,2,0,2,1,0,0,0,27,1,2
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/exception/ForbiddenClientException.java,com.sismics.rest.exception.ForbiddenClientException,class,2,2,0,2,1,2,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,4,1,1,0,1,0,0,0,0,27,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java,com.sismics.security.AnonymousPrincipal,class,2,3,1,2,9,1,0,0,32,0.81481487,0.055555556,0.055555556,9,0,9,0,0,0,9,0,0,0,3,1,1,2,0,0,1,0,0,31,6,0,0,0,0,1,0,3,0,3,0,0,0,0,29,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java,com.sismics.util.filter.TokenBasedSecurityFilter,class,8,10,2,8,15,2,0,22,6,0.75,NaN,NaN,4,3,0,3,1,0,1,0,0,0,3,3,3,0,0,0,3,0,4,42,8,1,4,1,3,2,8,10,6,10,3,0,0,0,87,1,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/test/java/com/sismics/reader/rest/descriptor/JerseyTestWebAppDescriptorFactory.java,com.sismics.reader.rest.descriptor.JerseyTestWebAppDescriptorFactory,class,4,5,1,4,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,9,1,0,0,0,0,11,0,1,0,1,0,0,0,0,16,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/util/filter/SecurityFilter.java,com.sismics.util.filter.SecurityFilter,class,12,15,3,12,11,1,2,21,22,0.8125,0.0,0.0,8,4,3,4,1,0,4,1,0,0,2,2,2,0,0,0,2,0,4,39,1,0,2,0,0,1,0,9,0,9,1,0,0,0,92,1025,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/security/IPrincipal.java,com.sismics.security.IPrincipal,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java,com.sismics.util.filter.RequestContextFilter,class,14,16,2,14,21,1,0,40,4,0.5,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,3,98,0,0,4,6,0,14,5,10,2,8,4,0,0,0,74,1,8
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java,com.sismics.reader.rest.BaseJerseyTest,class,19,20,1,19,45,2,0,81,269,0.80882347,0.26666668,0.27096775,34,0,16,3,15,0,31,0,0,0,4,0,0,0,4,0,0,0,4,195,8,7,0,2,1,25,7,32,5,26,2,0,0,0,178,1025,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java,com.sismics.rest.util.ValidationUtil,class,3,5,2,3,22,1,0,11,28,0.875,0.0,0.0,8,8,8,0,0,0,8,0,0,0,3,3,0,3,0,0,0,0,15,65,7,0,4,1,0,21,1,5,0,3,2,0,0,0,93,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/exception/ServerException.java,com.sismics.rest.exception.ServerException,class,4,5,1,4,2,2,0,6,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,11,0,0,0,0,0,3,1,2,1,2,0,0,0,0,44,1,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/test/java/com/sismics/reader/rest/util/TestValidationUtil.java,com.sismics.reader.rest.util.TestValidationUtil,class,2,2,0,2,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,2,0,10,0,0,0,0,1,0,0,0,13,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/test/java/com/sismics/reader/rest/filter/CookieAuthenticationFilter.java,com.sismics.reader.rest.filter.CookieAuthenticationFilter,class,4,4,0,4,4,2,0,7,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,2,0,0,1,0,4,0,4,1,0,0,0,26,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/util/filter/HeaderBasedSecurityFilter.java,com.sismics.util.filter.HeaderBasedSecurityFilter,class,5,6,1,5,3,2,0,5,0,0.25,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,1,1,1,0,0,1,0,3,12,2,0,0,0,1,3,0,3,0,3,1,0,0,0,53,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java,com.sismics.security.UserPrincipal,class,2,3,1,2,14,1,0,0,71,0.8333333,0.10989011,0.15384616,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,51,7,0,0,0,0,0,0,8,0,6,0,0,0,0,37,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/util/JsonUtil.java,com.sismics.rest.util.JsonUtil,class,3,3,0,3,4,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,0,2,2,1,4,1,4,2,0,0,0,36,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web-common/src/main/java/com/sismics/rest/exception/ClientException.java,com.sismics.rest.exception.ClientException,class,4,6,2,4,2,2,0,6,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,11,0,0,0,0,0,3,1,2,1,2,0,0,0,0,45,1,1
